text,intent
yes,accept_agent_offer
yes please,accept_agent_offer
okay give me the details,accept_agent_offer
sure contact them,accept_agent_offer
ok,accept_agent_offer
i want the details,accept_agent_offer
no thanks,decline_agent_offer
not right now,decline_agent_offer
no,decline_agent_offer
maybe later,decline_agent_offer
i like this one,express_interest_specific_property
tell me more about that first property,express_interest_specific_property
the villa sounds good,express_interest_specific_property
what about apartments in marina,new_search_query
show me houses instead,new_search_query
change location to jvc,new_search_query
more,request_more_results
show more please,request_more_results
next set,request_more_results
hello,other_query
what's the weather,other_query
thanks for the help,other_query
